iter	Passed	Remaining
0	2	263
1	5	289
2	7	257
3	9	222
4	11	218
5	13	214
6	15	208
7	18	210
8	20	209
9	22	203
10	24	200
11	28	207
12	30	204
13	34	210
14	36	207
15	38	202
16	41	201
17	44	200
18	45	194
19	48	193
20	51	194
21	53	190
22	55	186
23	57	181
24	58	176
25	60	172
26	63	172
27	66	170
28	68	167
29	70	163
30	71	159
31	73	156
32	75	152
33	77	149
34	80	149
35	82	147
36	84	144
37	86	140
38	88	137
39	89	134
40	91	131
41	92	127
42	96	127
43	98	125
44	100	122
45	101	119
46	103	116
47	105	114
48	107	111
49	112	112
50	115	110
51	117	108
52	119	105
53	121	103
54	132	108
55	134	105
56	136	102
57	137	99
58	140	97
59	143	95
60	145	93
61	147	90
62	148	87
63	150	84
64	152	81
65	153	79
66	156	77
67	158	74
68	160	72
69	162	69
70	164	67
71	165	64
72	167	61
73	168	59
74	172	57
75	174	55
76	176	52
77	178	50
78	180	47
79	181	45
80	182	42
81	184	40
82	188	38
83	191	36
84	192	34
85	194	31
86	196	29
87	197	26
88	199	24
89	203	22
90	205	20
91	207	18
92	209	15
93	210	13
94	212	11
95	213	8
96	216	6
97	218	4
98	220	2
99	222	0
